OBJECTID,Rijksmonumentnummer,Gchw_nr,Gemeente,Plaats,Straat,Huisnummer,Toevoeging,Postcode,PHT,Opmerking,Type_object,Functie,Status,Waardering,Datum_pl,Bouwjaar_v,Bouwjaar_t,Datum_inv,Hoofd_object,Aanvullende_informatie,X_Coordinaat,Y_Coordinaat,URL_biotoop,Biotoop,Molens_hoofdstypen
"10525",0,3994,Arnhem,Arnhem,Parkstraat,"33", ,6828JC,6828JC33, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,13-6-1989,"1870","1880", , , ,191547,443799,,Biotoop,
"10700",0,21307,Ubbergen,Beek,Rijksstraatweg,"107", ,6573CK,6573CK107, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit,7-6-1987,"1900","1925", , , ,191552,427165,,Biotoop,
"10982",35826,25119,Ubbergen,Persingen,Persingensestraat,"7", ,6575JA,6575JA7,Bij,toren,defensiefunctie,rijksmonument,hoge kwaliteit, ,"1400","1500", , , ,191543,428187,,Biotoop,
"10906",0,21290,Ubbergen,Berg en Dal,"Holleweg, Oude","10", ,6572AB,6572AB10, ,villa,woonfunctie,gemeentelijk monument,middenkwaliteit,25-9-1987,"1850","1900", , , ,191503,426459,,Biotoop,
"8342",522012,25118,Ubbergen,Berg en Dal,"Kleefsebaan, Oude","119", ,6572AK,6572AK119, ,kasteel,woonfunctie,rijksmonument,hoge kwaliteit, ,"1907", , , , ,191548,426174,,Biotoop,
"13337",0,1750,Arnhem,Arnhem,Agnietenstraat,"237", ,6822JR,6822JR237, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1895","1905", , , ,191429,444583,,Biotoop,
"13338",0,1752,Arnhem,Arnhem,Agnietenstraat,"241", ,6822JR,6822JR241, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1895","1905", , , ,191422,444584,,Biotoop,
"13339",0,1762,Arnhem,Arnhem,Agnietenstraat,"261", ,6822JR,6822JR261, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1895","1905", , , ,191386,444575,,Biotoop,
"13340",0,1782,Arnhem,Arnhem,Agnietenstraat,"297", ,6822JS,6822JS297, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1895","1905", , , ,191317,444568,,Biotoop,
"13396",35825,25121,Ubbergen,Persingen,Persingensestraat,"7", ,6575JA,6575JA7, ,kerk,religieuze functie,rijksmonument,hoge kwaliteit, ,"1400","1500", , , ,191543,428187,,Biotoop,
"13425",0,2966,Arnhem,Arnhem,Hovenierstraat,"14", ,6822BD,6822BD14, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1896","1897", , , ,191421,444358,,Biotoop,
"13426",0,2968,Arnhem,Arnhem,Hovenierstraat,"2", ,6822BD,6822BD2, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1896","1897", , , ,191414,444387,,Biotoop,
"14082",522014,25142,Ubbergen,Beek,Rijksstraatweg,"85", ,6573CK,6573CK85, ,villa,woonfunctie,rijksmonument,hoge kwaliteit, ,"1899","1900", , , ,191400,427266,,Biotoop,
"12214",0,4046,Arnhem,Arnhem,Paulstraat,"65", ,6822BS,6822BS65, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1860", , , , ,191493,444383,,Biotoop,
"13231",0,2374,Arnhem,Arnhem,Catharijnestraat,"129", ,6822CC,6822CC129, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1860", , , , ,191501,444414,,Biotoop,
"13233",0,2404,Arnhem,Arnhem,Catharijnestraat,"52", ,6822CD,6822CD52, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,7-12-1999,"1866", , , , ,191557,444361,,Biotoop,
"14175",0,4900,Arnhem,Arnhem,Veldstraat,"2", ,6822AM,6822AM2, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1898","1900", , , ,191389,444491,,Biotoop,
"14176",0,4901,Arnhem,Arnhem,Veldstraat,"3", ,6822AM,6822AM3, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1898","1900", , , ,191390,444511,,Biotoop,
"14183",0,5093,Arnhem,Arnhem,Warmoesstraat,"1", ,6822AN,6822AN1, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1901", , , , ,191419,444565,,Biotoop,
"14184",0,5097,Arnhem,Arnhem,Warmoesstraat,"5", ,6822AN,6822AN5, ,woonhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,11-11-1997,"1901", , , , ,191423,444556,,Biotoop,
"14185",516725,5101,Arnhem,Arnhem,Waterbergseweg,"18", ,6815AP,6815AP18, ,begraafplaats,religieuze functie,rijksmonument,hoge kwaliteit, ,"1876", , , , ,191555,446443,,Biotoop,
"13315",0,2245,Arnhem,Arnhem,"Heuvelink, Boulevard","48", ,6828KS,6828KS48, ,herenhuis,woonfunctie,gemeentelijk monument,middenkwaliteit,16-5-2000,"1895", , , , ,191569,443425,,Biotoop,
"16135",0,19833,Groesbeek,Berg en Dal,"Kleefsebaan, Oude","95", ,6571BE,6571BE95, ,onderwijzerswoning,woonfunctie,gemeentelijk monument,middenkwaliteit, ,"1910","1920", , , ,191313,426330,,Biotoop,
"16155",0,21284,Ubbergen,Ooij,"Bandijk, Ooijse","90", ,6576JG,6576JG90, ,dijkwoning,woonfunctie,gemeentelijk monument,middenkwaliteit,21-4-1992,"1900","1925", , , ,191315,431294,,Biotoop,
"16221",0,21305,Ubbergen,Beek,Rijksstraatweg,"81", ,6573CK,6573CK81,Bij,hekwerk,territoriale functie,gemeentelijk monument,middenkwaliteit,21-4-1992,"1800","1900", , , ,191346,427286,,Biotoop,
